Please check the docs for d{{c1::etails}}.	"<font color=""#0000ff"">詳細</font>はdocsを見てください。"	details	dɪˈteɪlz	詳細	Noun	[sound:engineer-vocabulary-list_023.mp3]	
Could you tell me about the incident i{{c1::n}} {{c1::detail}}?	"どんなインシデントだったか<font color=""#0000ff"">詳しく</font>教えてもらえますか。"	in detail	ɪn dɪˈteɪl	詳しく	Adverb	[sound:engineer-vocabulary-list_024.mp3]	
The company p{{c1::olicy}} has not been decided yet.	"まだ会社の<font color=""#0000ff"">方針</font>が決まってない。"	policy	ˈpɑləsi	方針	Noun	[sound:engineer-vocabulary-list_025.mp3]	
Let me a{{c1::dd}} something to what Ken said.	"ケンさんの話への<font color=""#0000ff"">補足</font>なんですけど、、、"	add	æd	補足する	Verb	[sound:engineer-vocabulary-list_026.mp3]	
I think this way is e{{c1::ffective}}.	"このやり方が<font color=""#0000ff"">効果的だ</font>と思います。"	effective	ɪˈfɛktɪv	効果的	Adjective	[sound:engineer-vocabulary-list_027.mp3]	
We a{{c1::chieved}} our OKR last week.	"先週、OKRを<font color=""#0000ff"">達成し</font>ました。"	achieve	əˈʧiv	達成する	Verb	[sound:engineer-vocabulary-list_028.mp3]	
I will r{{c1::eport}} on the project.	"プロジェクトについて<font color=""#0000ff"">報告し</font>ます。"	report	rɪˈpɔrt	報告する	Verb	[sound:engineer-vocabulary-list_029.mp3]	
EMs are d{{c1::iscussing}} it now.	"それはEMが<font color=""#0000ff"">議論し</font>ているところです。"	discuss	dɪˈskʌs	議論する	Verb	[sound:engineer-vocabulary-list_030.mp3]	
There are some d{{c1::efects}}, so I'll fix it by the end of the day.	"ちょっと<font color=""#0000ff"">不具合</font>があるので、今日中に直します。"	defect	ˈdifɛkt	不具合	Noun	[sound:engineer-vocabulary-list_031.mp3]	bug
This is w{{c1::orking}} w{{c1::ell}}.	"これは、<font color=""#0000ff"">順調に進ん</font>でいます。"	work well	wɜrk wɛl	順調に進む	Verb	[sound:engineer-vocabulary-list_032.mp3]	
There are too m{{c1::any}} tasks.	"タスクの<font color=""#0000ff"">量が多</font>すぎます。"	many	ˈmɛni	量が多い	Adjective	[sound:engineer-vocabulary-list_033.mp3]	
Could you explain the incident more c{{c1::oncretely}}?	"<font color=""#0000ff"">具体的に</font>どんなインシデントでしたか。"	concretely	ˈkɑnˌkritli	具体的に	Adverb	[sound:engineer-vocabulary-list_034.mp3]	
We're in a tough s{{c1::ituation}} in terms of QA resources.	"QAのリソースが厳しい<font color=""#0000ff"">状況</font>です。"	situation	ˌsɪʧuˈeɪʃən	状況	Noun	[sound:engineer-vocabulary-list_035.mp3]	
I'll explain the p{{c1::resent}} s{{c1::ituation}}.	"<font color=""#0000ff"">現状</font>を説明します。"	present situation	ˈprɛzənt ˌsɪʧuˈeɪʃən	現状	Noun	[sound:engineer-vocabulary-list_036.mp3]	
Let's start with a p{{c1::rogress}} c{{c1::heck}}.	"まずは、<font color=""#0000ff"">進捗確認</font>をしましょう。"	progress check	ˈprɑˌgrɛs ʧɛk	進捗確認	Noun	[sound:engineer-vocabulary-list_037.mp3]	
I think we should decide the p{{c1::riority}}.	"<font color=""#0000ff"">優先順位</font>を決めたほうがいいと思います。"	priority	praɪˈɔrəti	優先順位	Noun	[sound:engineer-vocabulary-list_038.mp3]	
Are there any tickets l{{c1::eft}}?	"<font color=""#0000ff"">残っ</font>ているチケットはありますか。"	left	lɛft	残って	Adjective	[sound:engineer-vocabulary-list_039.mp3]	
Have you already i{{c1::nitiated}} it? 	"それって、もう<font color=""#0000ff"">着手し</font>てますか？"	initiate	ɪˈnɪʃiɪt	着手する	Verb	[sound:engineer-vocabulary-list_040.mp3]	
I'm thinking I should a{{c1::djust}} my workload because I've been too busy these days.	"最近忙しすぎるので、タスクの量を<font color=""#0000ff"">調整し</font>たほうがいいいと思っています。"	adjust	əˈʤʌst	調整する	Verb	[sound:engineer-vocabulary-list_041.mp3]	
I'd like to make sure everyone's o{{c1::n}} the s{{c1::ame}} {{c1::page}}.	"全員で<font color=""#0000ff"">認識</font>を合わせたいです。"	on the same page	ɑn ðə seɪm peɪʤ	認識が合う	Adjective	[sound:engineer-vocabulary-list_042.mp3]	
I'd like to make sure there's no m{{c1::isunderstanding}} between us.	"<font color=""#0000ff"">認識がずれ</font>てないか確認したいです。"	misunderstanding	ˌmɪsəndərˈstændɪŋ	認識のずれ	Noun	[sound:engineer-vocabulary-list_043.mp3]	
The schedule has been c{{c1::hanged}}.	"スケジュールが<font color=""#0000ff"">変更し</font>ています。"	change	ʧeɪnʤ	変更する	Verb	[sound:engineer-vocabulary-list_044.mp3]	
We will s{{c1::tart}} a campaign next week.	"来週からキャンペーンが<font color=""#0000ff"">開始し</font>ます。"	start	stɑrt	開始する	Verb	[sound:engineer-vocabulary-list_045.mp3]	
Let's m{{c1::ove}} {{c1::up}} this project. (Ex: from next qtr to this qtr)	"このプロジェクトは、<font color=""#0000ff"">前倒し</font>で進めましょう"	move up	muv ʌp	前倒しする	Verb	[sound:engineer-vocabulary-list_046.mp3]	
We're planning to do a code review s{{c1::ometime}} {{c1::after}} next week.	"コードレビューは、来週<font color=""#0000ff"">以降</font>の予定です"	sometime after	ˈsʌmˌtaɪm ˈæftər	以降	Noun	[sound:engineer-vocabulary-list_047.mp3]	
