"When is the d{{c1::ue}} {{c1::date}}?<br><font color=""#0000ff"">締切</font>はいつですか。"	<br>due date<br>du deɪt<br>Noun<br>締切<br>deadline<br>[sound:engineer-vocabulary-list_048.mp3]
"Please go a{{c1::head}} with the meeting as I'm running late due to another meeting.<br>他のミーティングがあって、ちょっと遅れるので、<font color=""#0000ff"">先に</font>始めてください。"	<br>ahead<br>əˈhɛd<br>Adverb<br>先に<br>[sound:engineer-vocabulary-list_049.mp3]
"Please write the topics you want to talk about i{{c1::n}} {{c1::advance}}.<br>話したいトピックは、<font color=""#0000ff"">事前に</font>書いておいてください。"	<br>in advance<br>ɪn ədˈvæns<br>Adverb<br>事前に<br>[sound:engineer-vocabulary-list_050.mp3]
I think we should work on this s{{c1::ooner}} {{c1::than}} {{c1::later}}, because we will release it next week.<br>これは来週リリースなので、すぐにでもやった方がいいと思います。	<br>sooner than later<br>ˈsuːnə ðæn ˈleɪtə<br>Adverb<br>すぐにでも<br>[sound:engineer-vocabulary-list_051.mp3]
"Let's move forward in this way, t{{c1::emporarily}}. <br><font color=""#0000ff"">一旦</font>、このやり方で進めましょう。"	<br>temporarily<br>ˌtɛmpəˈrɛrəli<br>Adverb<br>一旦<br>for a moment<br>[sound:engineer-vocabulary-list_052.mp3]
"Everything has been reflected in the test e{{c1::nvironment}}.<br>すべてテスト<font color=""#0000ff"">環境</font>に反映しました。"	<br>environment<br>ɪnˈvaɪrənmənt<br>Noun<br>環境<br>[sound:engineer-vocabulary-list_053.mp3]
"The internet environment (ex: wifi) here is bad, which is hindering our b{{c1::usiness}}.<br>ネット環境が悪くて、<font color=""#0000ff"">業務</font>に支障が出ています。"	<br>business<br>ˈbɪznəs<br>Noun<br>業務<br>task<br>[sound:engineer-vocabulary-list_054.mp3]
"What f{{c1::eatures}} do you think would be more beneficial for our customers?<br>どんな<font color=""#0000ff"">機能</font>があったら、もっとお客様のためになると思う?"	<br>feature<br>ˈfiʧər<br>Noun<br>機能<br>function<br>[sound:engineer-vocabulary-list_055.mp3]
"That o{{c1::peration}} is not working properly. <br>これは、ちゃんと<font color=""#0000ff"">運用</font>ができていません。"	<br>operation<br>ˌɑpəˈreɪʃən<br>Noun<br>運用<br>[sound:engineer-vocabulary-list_056.mp3]
"From QA's p{{c1::oint}} {{c1::of}} {{c1::view}}, the priority of this task is low.<br>QAの<font color=""#0000ff"">観点</font>からすると、このタスクの優先順位は低いです。"	<br>point of view<br>pɔɪnt ʌv vju<br>Noun<br>観点<br>[sound:engineer-vocabulary-list_057.mp3]
"Which one is the most i{{c1::mportant}} issue?<br>どれが一番<font color=""#0000ff"">重要</font>な問題ですか。"	<br>important<br>ɪmˈpɔrtənt<br>Adjective<br>重要<br>[sound:engineer-vocabulary-list_058.mp3]
"Can you s{{c1::hare}} your s{{c1::creen}}?<br><font color=""#0000ff"">画面共有し</font>てもらえる？"	<br>share one's screen<br>ʃɛr wʌnz skrin<br>Verb<br>画面共有する<br>[sound:engineer-vocabulary-list_059.mp3]
"I completed the d{{c1::eployment}} yesterday.<br>昨日、<font color=""#0000ff"">デプロイ</font>、完了しました。"	<br>deployment<br>dɪˈplɔɪmənt<br>Noun<br>デプロイ<br>[sound:engineer-vocabulary-list_060.mp3]
"When will you t{{c1::est}} the o{{c1::peration}}?<br><font color=""#0000ff"">動作確認</font>はいつしますか。"	<br>test operation<br>tɛst ˌɑpəˈreɪʃən<br>Verb<br>動作を確認する<br>check operation<br>[sound:engineer-vocabulary-list_061.mp3]
"We're going to i{{c1::mplement}} this next week.<br>これは来週<font color=""#0000ff"">実装し</font>ます"	<br>implement<br>ˈɪmpləmənt<br>Verb<br>実装する<br>[sound:engineer-vocabulary-list_062.mp3]
"It's s{{c1::table}} now since I've resolved the bugs.<br>(それは、)バ グを直したので、今は<font color=""#0000ff"">安定してい</font>ます。"	<br>stable<br>ˈsteɪbəl<br>Adjective<br>安定している<br>[sound:engineer-vocabulary-list_063.mp3]
"An issue o{{c1::ccurred}} when I was on call.<br>オンコールのときに、問題が<font color=""#0000ff"">発生し</font>ました。"	<br>occur<br>əˈkɜr<br>Verb<br>発生する<br>[sound:engineer-vocabulary-list_064.mp3]
"For this issue, our team doesn't need to d{{c1::eal}} {{c1::with}} it since another team will.<br>これは、他のチームが<font color=""#0000ff"">対応し</font>てくれるので、うちのチームはしなくていいです。"	<br>deal with<br>dil wɪð<br>Verb<br>対応する<br>handle<br>[sound:engineer-vocabulary-list_065.mp3]
"I'll d{{c1::elete}} this because there are two tickets with the same content on Jira.<br>Jiraに同じ内容のチケットが２つあるので、こっちは<font color=""#0000ff"">削除し</font>ますね。"	<br>delete<br>dɪˈlit<br>Verb<br>削除する<br>[sound:engineer-vocabulary-list_066.mp3]
"Sorry, I forgot to s{{c1::ave}} it after I fixed it.<br>すみません、修正したあと、<font color=""#0000ff"">保存し</font>忘れました。"	<br>save<br>seɪv<br>Verb<br>保存する<br>[sound:engineer-vocabulary-list_067.mp3]
"We're now t{{c1::hinking}} {{c1::about}} how to roll it back.<br>ロールバックのやり方は今<font color=""#0000ff"">検討</font>中です。"	<br>think about<br>θɪŋk əˈbaʊt<br>Verb<br>検討する<br>consider<br>[sound:engineer-vocabulary-list_068.mp3]
"Who's the person r{{c1::elated}} {{c1::to}} this ticket?<br>このチケットに<font color=""#0000ff"">関係し</font>てる人って、誰だっけ？"	<br>related to<br>rɪˈleɪtɪd tu<br>Adjective<br>関係する<br>[sound:engineer-vocabulary-list_069.mp3]
"Let's c{{c1::ontinue}} the weekly sync meetings as we've been doing.<br>週次共有ミーティングは、今後も<font color=""#0000ff"">継続し</font>ていきましょう。"	<br>continue<br>kənˈtɪnju<br>Verb<br>継続する<br>[sound:engineer-vocabulary-list_070.mp3]
"How do you m{{c1::easure}} if you've achieved your goal or not?<br>この目標を達成したかどうかをどうやって<font color=""#0000ff"">測り</font>ますか。"	<br>measure<br>ˈmɛʒər<br>Verb<br>測る<br>[sound:engineer-vocabulary-list_071.mp3]
"This screen layout makes it difficult to use the s{{c1::earch}} function.<br>この画面は<font color=""#0000ff"">検索し</font>にくいですね。"	<br>search<br>sɜrʧ<br>Verb<br>検索する<br>[sound:engineer-vocabulary-list_072.mp3]
