JAPANESE WORD,JAPANESE WORD WITH KANA,ENGLISH WORD,PART OF WORD,SYNONYM,PHONETICS,SENTENCE ID,JAPANESE SENTENCE,JAPANESE HIGHLIGHT,JAPANESE SENTENCE WITH KANA,ENGLISH SENTENCE,ENGLISH SENTENCE WITH CLOZE,ENGLISH AUDIO FILE
詳細,詳細(しょうさい),details,Noun,,dɪˈteɪlz,023,詳細はdocsを見てください。,詳細,詳細(しょうさい)はdocsを見(み)てください。,Please check the docs for details.,Please check the docs for d{{etails}}.,
詳しく,詳(くわ)しく,in detail,Adverb,,ɪn dɪˈteɪl,024,どんなインシデントだったか詳しく教えてもらえますか。,詳しく,どんなインシデントだったか詳(くわ)しく教(おし)えてもらえますか。,Could you tell me about the incident in detail?,Could you tell me about the incident i{{n}} {{detail}}?,
方針,方針(ほうしん),policy,Noun,,ˈpɑləsi,025,まだ会社の方針が決まってない。,方針,まだ会社(かいしゃ)の方針(ほうしん)が決(き)まってない。,The company policy has not been decided yet.,The company p{{olicy}} has not been decided yet.,
補足する,補足(ほそく)する,add,Verb,,æd,026,ケンさんの話への補足なんですけど、、、,補足,ケンさんの話(はなし)への補足(ほそく)なんですけど、、、,Let me add something to what Ken said.,Let me a{{dd}} something to what Ken said.,
効果的,効果的(こうかてき),effective,Adjective,,ɪˈfɛktɪv,027,このやり方が効果的だと思います。,効果的だ,このやり方(かた)が効果的(こうかてき)だと思(おも)います。,I think this way is effective.,I think this way is e{{ffective}}.,
達成する,達成(たっせい)する,achieve,Verb,,əˈʧiv,028,先週、OKRを達成しました。,達成し,先週(せんしゅう)、OKRを達成(たっせい)しました。,We achieved our OKR last week.,We a{{chieved}} our OKR last week.,
報告する,報告(ほうこく)する,report,Verb,,rɪˈpɔrt,029,プロジェクトについて報告します。,報告し,プロジェクトについて報告(ほうこく)します。,I will report on the project.,I will r{{eport}} on the project.,
議論する,議論(ぎろん)する,discuss,Verb,,dɪˈskʌs,030,それはEMが議論しているところです。,議論し,それはEMが議論(ぎろん)しているところです。,EMs are discussing it now.,EMs are d{{iscussing}} it now.,
不具合,不具合(ふぐあい),defect,Noun,bug,ˈdifɛkt,031,ちょっと不具合があるので、今日中に直します。,不具合,ちょっと不具合(ふぐあい)があるので、今日中(きょうじゅう)に直(なお)します。,"There are some defects, so I'll fix it by the end of the day.","There are some d{{efects}}, so I'll fix it by the end of the day.",
順調に進む,順調(じゅんちょう)に進(すす)む,work well,Verb,,wɜrk wɛl,032,これは、順調に進んでいます。,順調に進ん,これは、順調(じゅんちょう)に進(すす)んでいます。,This is working well.,This is w{{orking}} w{{ell}}.,
量が多い,量(りょう)が多い,many,Adjective,,ˈmɛni,033,タスクの量が多すぎます。,量,タスクの量(りょう)が多(おお)すぎます。,There are too many tasks.,There are too m{{any}} tasks.,
具体的に,具体的(ぐたいてき)に,concretely,Adverb,,ˈkɑnˌkritli,034,具体的にどんなインシデントでしたか。,具体的に,具体的(ぐたいてき)にどんなインシデントでしたか。,Could you explain the incident more concretely?,Could you explain the incident more c{{oncretely}}?,
状況,状況(じょうきょう),situation,Noun,,ˌsɪʧuˈeɪʃən,035,QAのリソースが厳しい状況です。,状況,QAのリソースが厳(きび)しい状況(じょうきょう)です。,We're in a tough situation in terms of QA resources.,We're in a tough s{{ituation}} in terms of QA resources.,
現状,現状(げんじょう),present situation,Noun,,ˈprɛzənt ˌsɪʧuˈeɪʃən,036,現状を説明します。,現状,現状(げんじょう)を説明(せつめい)します。,I'll explain about the present situation.,I'll explain about the p{{resent}} s{{ituation}}.,
